driverId,driverName,mu,sigma
3,Nico Rosberg,35.54867336011865,0.7785535921857409
830,Max Verstappen,34.423195254548666,0.7558352307163774
846,Lando Norris,33.979042076838226,0.7485321920138706
857,Oscar Piastri,32.75242837965297,0.9760713554303647
844,Charles Leclerc,31.292013199758525,0.7394871513092464
1,Lewis Hamilton,31.12286025534696,0.7301054792549017
832,Carlos Sainz,30.317767067663617,0.7249245259793493
20,Sebastian Vettel,29.987112894585987,0.729470949993216
860,Oliver Bearman,29.344730908342886,3.276690204369685
4,Fernando Alonso,29.286254342100868,0.7216722707905072
17,Mark Webber,28.6728435103949,0.9469825522591878
8,Kimi Räikkönen,28.575697968612065,0.7294245816732141
13,Felipe Massa,27.917380155648356,0.7393500916126333
817,Daniel Ricciardo,26.509208215345957,0.727921322322839
807,Nico Hülkenberg,26.335295260107753,0.7211756596240019
822,Valtteri Bottas,26.137615744816934,0.7214576326880107
18,Jenson Button,26.04866391841437,0.7568690824162184
839,Esteban Ocon,25.733279424446305,0.7322788603220391
815,Sergio Pérez,25.679289091970382,0.7237699663201823
811,Bruno Senna,25.643734270582936,1.2110299318343283
842,Pierre Gasly,25.118117701086696,0.7333367557714724
826,Daniil Kvyat,24.95965834842042,0.7653876904355844
840,Lance Stroll,24.90273369419085,0.7303353147862388
841,Antonio Giovinazzi,24.685282494774793,0.8874316754973061
847,George Russell,24.571957943578024,0.7449668656942482
818,Jean-Éric Vergne,24.555921925362806,0.8932299889225916
814,Paul di Resta,24.508464734534975,0.9095236821125443
155,Kamui Kobayashi,24.314059119535596,0.9393860174373732
838,Stoffel Vandoorne,24.196962375909486,1.0000425036022729
22,Rubens Barrichello,24.15157270418325,1.5922615814828198
831,Felipe Nasr,24.10596963378563,1.0219762721922656
153,Jaime Alguersuari,24.04122262888326,1.6012336470467277
859,Liam Lawson,23.8750318648738,1.8443126236894911
833,Roberto Merhi,23.77070565296506,1.9358170822015672
834,Alexander Rossi,23.71468981558424,2.7316911141530014
855,Guanyu Zhou,23.65908024463038,0.8452982609696027
808,Vitaly Petrov,23.574757932745758,1.12440484303447
835,Jolyon Palmer,23.254044297556465,1.0790391047405312
861,Franco Colapinto,23.246310474589624,2.0151917617028157
828,Marcus Ericsson,23.168773807315734,0.7735706704643917
848,Alexander Albon,22.837950360611313,0.7635177119322459
825,Kevin Magnussen,22.678943463225504,0.724236329261159
5,Heikki Kovalainen,22.40788079225552,1.0960409763502335
862,Jack Doohan,22.26603000770189,4.973403155392771
30,Michael Schumacher,22.2301836135122,1.1016856908243595
836,Pascal Wehrlein,22.106815469026046,1.0489355901972157
16,Adrian Sutil,22.099657042618663,0.9229372811192107
67,Sébastien Buemi,21.99373884088877,1.5981470077301578
154,Romain Grosjean,21.968177446127758,0.7304552900982687
829,Will Stevens,21.76078395530031,1.5835055773937374
2,Nick Heidfeld,21.706727442211484,2.2245338787744773
37,Pedro de la Rosa,21.541929810322443,1.396004579696182
821,Esteban Gutiérrez,21.263520063477323,0.9020302579472573
813,Pastor Maldonado,21.24937079723247,0.7869093801413349
812,Karun Chandhok,21.198478178550797,5.220439947165534
843,Brendon Hartley,21.076395432757614,1.2676357649369268
852,Yuki Tsunoda,20.928933418892466,0.8048224608279545
851,Jack Aitken,20.300268077180654,4.972185037191652
837,Rio Haryanto,19.822250825977317,1.826568879473651
854,Mick Schumacher,19.246853171899595,0.9950087063753797
824,Jules Bianchi,19.15270878286378,1.1071590574285357
15,Jarno Trulli,19.022483616378203,1.6542101846818469
39,Narain Karthikeyan,18.95859189359578,1.2796371931751636
816,Jérôme d'Ambrosio,18.940706229922817,1.5511718141203235
823,Giedo van der Garde,18.907596215306725,1.4574117287592208
819,Charles Pic,18.731546603498884,1.0850925356164847
820,Max Chilton,18.059063183272638,1.0964272503046826
10,Timo Glock,17.935505715443846,1.142787273367147
845,Sergey Sirotkin,17.877093586470526,1.375097566965519
850,Pietro Fittipaldi,17.732393028028746,3.932691545043722
24,Vitantonio Liuzzi,17.48504587185912,1.6932131760273132
856,Nyck de Vries,17.404483024694407,1.853690871327028
849,Nicholas Latifi,16.79566318199182,0.8778793868181685
858,Logan Sargeant,16.55857061762495,1.0929182282810777
9,Robert Kubica,15.59425445973215,1.3181575757496715
827,André Lotterer,13.880640035384035,5.80508004979078
853,Nikita Mazepin,13.868982404155553,1.3935948723926723
