entity_type,entity_id,entity_name,season,mu,sigma
driver,1,,0,0.5727474093437195,0.07138726115226746
driver,2,,0,-0.5196085572242737,0.3658863306045532
driver,3,,0,0.17834992706775665,0.11875961720943451
driver,4,,0,1.0408202409744263,0.08278197050094604
driver,5,,0,-0.4060579836368561,0.1781153678894043
driver,8,,0,0.7593494653701782,0.08682218194007874
driver,9,,0,-0.2472083419561386,0.23103870451450348
driver,10,,0,-0.5795135498046875,0.1812279224395752
driver,13,,0,0.2745964825153351,0.09958681464195251
driver,15,,0,-0.5340702533721924,0.26540204882621765
driver,16,,0,-0.04244937002658844,0.14937517046928406
driver,17,,0,0.6445317268371582,0.15247607231140137
driver,18,,0,1.316774606704712,0.1129431426525116
driver,20,,0,2.028618097305298,0.0833750069141388
driver,22,,0,-0.16184596717357635,0.24623413383960724
driver,24,,0,-0.8650975823402405,0.3025277554988861
driver,30,,0,-0.47790950536727905,0.19544871151447296
driver,37,,0,-0.033043086528778076,0.2530774474143982
driver,39,,0,-0.7592796087265015,0.23919975757598877
driver,67,,0,-0.25093507766723633,0.2574281692504883
driver,153,,0,-0.45953476428985596,0.2565961182117462
driver,154,,0,-0.30604296922683716,0.11328987777233124
driver,155,,0,0.016917381435632706,0.15633749961853027
driver,807,,0,0.15654553472995758,0.08089809864759445
driver,808,,0,-0.050468459725379944,0.17504939436912537
driver,811,,0,-0.27056148648262024,0.19181029498577118
driver,812,,0,-0.7585933208465576,0.6880398988723755
driver,813,,0,-0.4300941526889801,0.1301877498626709
driver,814,,0,-0.07285870611667633,0.14891204237937927
driver,815,,0,-0.06656047701835632,0.07766842842102051
driver,816,,0,-0.7978467345237732,0.24664756655693054
driver,817,,0,-0.23085837066173553,0.07487577199935913
driver,818,,0,-0.14444318413734436,0.16922001540660858
driver,819,,0,-0.19869503378868103,0.21209318935871124
driver,820,,0,-0.5727363228797913,0.17503616213798523
driver,821,,0,-0.14014285802841187,0.15459322929382324
driver,822,,0,0.07746589928865433,0.07827074080705643
driver,823,,0,-0.3785169720649719,0.29254645109176636
driver,824,,0,-0.46701711416244507,0.20012973248958588
driver,825,,0,0.2233390361070633,0.10288170725107193
driver,826,,0,0.19655027985572815,0.10260588675737381
driver,827,,0,0.0545547679066658,0.9973438382148743
driver,828,,0,-0.09123997390270233,0.11911413073539734
driver,829,,0,-0.25749504566192627,0.31361496448516846
driver,830,,0,0.35735461115837097,0.09509913623332977
driver,831,,0,0.2635202407836914,0.18090558052062988
driver,832,,0,0.40194225311279297,0.09268760681152344
driver,833,,0,0.008517695590853691,0.30548763275146484
driver,834,,0,0.20965474843978882,0.4529329836368561
driver,835,,0,-0.13046586513519287,0.2165650725364685
driver,836,,0,-0.17067421972751617,0.19794782996177673
driver,837,,0,-0.5976409912109375,0.364144504070282
driver,838,,0,0.19621935486793518,0.16188475489616394
driver,839,,0,0.14873580634593964,0.09728246182203293
driver,840,,0,-0.07257384061813354,0.0970727875828743
driver,841,,0,-0.006718432530760765,0.15568393468856812
driver,842,,0,0.18044336140155792,0.08644085377454758
driver,843,,0,-0.21144062280654907,0.27432751655578613
driver,844,,0,0.15782369673252106,0.10285742580890656
driver,845,,0,-0.2730461061000824,0.25995755195617676
driver,846,,0,0.29098960757255554,0.10110015422105789
driver,847,,0,-0.03746978938579559,0.10291728377342224
driver,848,,0,0.20065046846866608,0.1119777262210846
driver,849,,0,-0.16924914717674255,0.15689024329185486
driver,850,,0,-0.4769836962223053,0.7523490786552429
driver,851,,0,0.10672369599342346,0.7468138933181763
driver,852,,0,0.00860194955021143,0.13087059557437897
driver,853,,0,-0.16653665900230408,0.2722631096839905
driver,854,,0,0.05206945538520813,0.25107115507125854
driver,855,,0,-0.053045257925987244,0.12541279196739197
driver,856,,0,-0.20562680065631866,0.377424031496048
driver,857,,0,0.26328811049461365,0.16305337846279144
driver,858,,0,-0.18081772327423096,0.20091022551059723
driver,859,,0,0.1976984590291977,0.32411694526672363
driver,860,,0,0.2000652700662613,0.61226487159729
driver,861,,0,0.16537126898765564,0.42799073457717896
driver,862,,0,0.11109930276870728,0.7881309986114502
constructor,1,,0,0.3917507529258728,0.06924597918987274
constructor,3,,0,-0.07920007407665253,0.06559689342975616
constructor,4,,0,-0.15248790383338928,0.07588843256235123
constructor,5,,0,0.053866565227508545,0.06488639861345291
constructor,6,,0,0.4465392231941223,0.0574122853577137
constructor,9,,0,0.8687070608139038,0.0771307498216629
constructor,10,,0,0.2220863550901413,0.05526764318346977
constructor,15,,0,-0.1713942140340805,0.059134505689144135
constructor,131,,0,0.27980124950408936,0.06403859704732895
constructor,164,,0,-0.9136791229248047,0.10223033279180527
constructor,166,,0,-0.5009413361549377,0.10553523898124695
constructor,205,,0,-0.4474124014377594,0.09787573665380478
constructor,206,,0,-0.13431136310100555,0.1360495239496231
constructor,207,,0,-0.18112939596176147,0.1046132892370224
constructor,208,,0,0.23687708377838135,0.126349076628685
constructor,209,,0,-0.16050738096237183,0.1210094690322876
constructor,210,,0,0.24143493175506592,0.08639151602983475
driver,1,,1,0.6465145349502563,0.08257327973842621
driver,2,,1,-0.5330129265785217,0.2900368869304657
driver,3,,1,0.11452778428792953,0.11908068507909775
driver,4,,1,0.8948380351066589,0.07206300646066666
driver,5,,1,-0.24613824486732483,0.18186445534229279
driver,8,,1,0.8409452438354492,0.08206570148468018
driver,9,,1,-0.2794608771800995,0.21167954802513123
driver,10,,1,-0.34488579630851746,0.19231918454170227
driver,13,,1,0.27441197633743286,0.10718943178653717
driver,15,,1,-0.5675555467605591,0.3234134912490845
driver,16,,1,-0.2195567488670349,0.15912757813930511
driver,17,,1,0.3744734823703766,0.15595579147338867
driver,18,,1,0.7509332299232483,0.10583533346652985
driver,20,,1,1.5860999822616577,0.07576819509267807
driver,22,,1,-0.21929357945919037,0.31772831082344055
driver,24,,1,-0.841049075126648,0.3154943883419037
driver,30,,1,-0.48462772369384766,0.19739721715450287
driver,37,,1,-0.07148456573486328,0.19295182824134827
driver,39,,1,-0.516532301902771,0.20952357351779938
driver,67,,1,-0.2155444324016571,0.31535398960113525
driver,153,,1,-0.3956420123577118,0.30175888538360596
driver,154,,1,-0.3807860314846039,0.10480379313230515
driver,155,,1,0.12405559420585632,0.1625264286994934
driver,807,,1,0.18715083599090576,0.0872206762433052
driver,808,,1,-0.01260169968008995,0.19881612062454224
driver,811,,1,-0.28527453541755676,0.19271749258041382
driver,812,,1,-0.8351604342460632,0.2919459044933319
driver,813,,1,-0.19698268175125122,0.12999337911605835
driver,814,,1,-0.0567803792655468,0.1622844934463501
driver,815,,1,0.09086379408836365,0.07326655834913254
driver,816,,1,-0.714272677898407,0.3006661534309387
