entity_type,entity_id,entity_name,season,mu,sigma
driver,1,,all,0.6661285758018494,0.07874418050050735
driver,2,,all,-0.44729718565940857,0.35203424096107483
driver,3,,all,-0.21590563654899597,0.11233433336019516
driver,4,,all,0.5652003884315491,0.08218992501497269
driver,5,,all,-0.027189254760742188,0.1919570118188858
driver,8,,all,0.4783880412578583,0.09138044714927673
driver,9,,all,-0.6160440444946289,0.24466218054294586
driver,10,,all,-0.4140516519546509,0.17058563232421875
driver,13,,all,0.24209560453891754,0.10335194319486618
driver,15,,all,-0.2579454481601715,0.27203369140625
driver,16,,all,-0.22594447433948517,0.15044677257537842
driver,17,,all,0.08459793031215668,0.1482657939195633
driver,18,,all,0.5296158790588379,0.11172297596931458
driver,20,,all,0.650993824005127,0.0841238796710968
driver,22,,all,-0.2290867567062378,0.2313496470451355
driver,24,,all,-0.4832901656627655,0.32053062319755554
driver,30,,all,-1.5886300802230835,0.1950128823518753
driver,37,,all,0.22661420702934265,0.23212173581123352
driver,39,,all,-0.31604957580566406,0.23300303518772125
driver,67,,all,-0.06612706929445267,0.3004130721092224
driver,153,,all,-0.18458068370819092,0.2443709373474121
driver,154,,all,-0.04650363698601723,0.10534870624542236
driver,155,,all,0.2712865471839905,0.15399283170700073
driver,807,,all,0.3069528043270111,0.0869036316871643
driver,808,,all,0.17663069069385529,0.1764572411775589
driver,811,,all,-0.2722509801387787,0.21159851551055908
driver,812,,all,-0.67548668384552,0.6373205184936523
driver,813,,all,-0.3709261119365692,0.12873396277427673
driver,814,,all,-0.06679336726665497,0.14171624183654785
driver,815,,all,0.3130352199077606,0.07405000180006027
driver,816,,all,-0.6540525555610657,0.24530979990959167
driver,817,,all,0.35609960556030273,0.09348927438259125
driver,818,,all,0.029533518478274345,0.15935413539409637
driver,819,,all,-0.16460272669792175,0.19552430510520935
driver,820,,all,-0.6475009322166443,0.18316850066184998
driver,821,,all,-0.06394680589437485,0.15012279152870178
driver,822,,all,0.45978423953056335,0.07790286093950272
driver,823,,all,-0.31988558173179626,0.25669926404953003
driver,824,,all,-0.5840674638748169,0.19954323768615723
driver,825,,all,0.050114426761865616,0.1227186918258667
driver,826,,all,0.2501867115497589,0.11929772794246674
driver,827,,all,0.03204766660928726,0.9858965873718262
driver,828,,all,0.09278538823127747,0.130425825715065
driver,829,,all,-0.24948184192180634,0.2977369725704193
driver,830,,all,0.7313187122344971,0.09090873599052429
driver,831,,all,0.22082756459712982,0.1852981150150299
driver,832,,all,0.6345239281654358,0.09046690165996552
driver,833,,all,0.19214694201946259,0.29665878415107727
driver,834,,all,0.2134687304496765,0.41162919998168945
driver,835,,all,-0.27030494809150696,0.1973768174648285
driver,836,,all,-0.25717249512672424,0.1934983879327774
driver,837,,all,-0.8177607655525208,0.3765922784805298
driver,838,,all,0.015618717297911644,0.16419921815395355
driver,839,,all,0.4297184944152832,0.1009332537651062
driver,840,,all,-0.030809473246335983,0.09909698367118835
driver,841,,all,0.42761558294296265,0.14239950478076935
driver,842,,all,0.4739600419998169,0.09819169342517853
driver,843,,all,-0.40876317024230957,0.23142367601394653
driver,844,,all,0.5730272531509399,0.10139733552932739
driver,845,,all,-0.5389024019241333,0.24625955522060394
driver,846,,all,0.9849510192871094,0.10375860333442688
driver,847,,all,-0.2563399076461792,0.11025290191173553
driver,848,,all,0.20030900835990906,0.11686145514249802
driver,849,,all,-0.5213622450828552,0.1476850062608719
driver,850,,all,-0.7621778249740601,0.6230671405792236
driver,851,,all,0.09934358298778534,0.6980388164520264
driver,852,,all,0.15972858667373657,0.13441896438598633
driver,853,,all,-0.8429839611053467,0.26716113090515137
driver,854,,all,-0.23786231875419617,0.19605225324630737
driver,855,,all,0.3117087483406067,0.1444116234779358
driver,856,,all,-0.16502279043197632,0.3049030303955078
driver,857,,all,0.9951968789100647,0.17341870069503784
driver,858,,all,-0.5667652487754822,0.2134808450937271
driver,859,,all,0.6728516817092896,0.3258100152015686
driver,860,,all,0.6355515122413635,0.5810956358909607
driver,861,,all,0.14773398637771606,0.3896629810333252
driver,862,,all,0.02682492695748806,0.7540514469146729
constructor,1,,all,0.15233078598976135,0.07307394593954086
constructor,3,,all,0.10059193521738052,0.0798884779214859
constructor,4,,all,0.0766487792134285,0.08240481466054916
constructor,5,,all,-0.08569832891225815,0.0736619234085083
constructor,6,,all,0.6759260296821594,0.07505695521831512
constructor,9,,all,1.059909462928772,0.07657280564308167
constructor,10,,all,0.29350247979164124,0.0833086222410202
constructor,15,,all,-0.3160088360309601,0.07316051423549652
constructor,131,,all,1.4795676469802856,0.07162050902843475
constructor,164,,all,-1.1700780391693115,0.11588868498802185
constructor,166,,all,-0.4859424829483032,0.11332662403583527
constructor,205,,all,-0.5683413147926331,0.10814369469881058
constructor,206,,all,-0.2345503270626068,0.10704533755779266
constructor,207,,all,-0.7189755439758301,0.10336141288280487
constructor,208,,all,0.2765272855758667,0.09754455834627151
constructor,209,,all,-0.6584975123405457,0.1164655089378357
constructor,210,,all,0.12308776378631592,0.09065777063369751
