entity_type,entity_id,svi_mean,nuts_mean,nuts_std,discrepancy,r_hat
driver,1,0.6539629101753235,0.6012098789215088,0.18115705251693726,0.29120054841041565,0.9980213642120361
driver,2,-0.48761284351348877,-0.6906396746635437,0.3920016884803772,0.5179233551025391,0.998748779296875
driver,3,-0.20654799044132233,-0.3064579963684082,0.20268981158733368,0.4929206967353821,1.003032922744751
driver,4,0.5975505709648132,0.5274869203567505,0.16084961593151093,0.43558481335639954,0.9980936050415039
driver,5,-0.0827890932559967,0.23225939273834229,0.2802444398403168,1.1241917610168457,1.0002580881118774
driver,8,0.4988858699798584,0.48973703384399414,0.16728191077709198,0.0546911247074604,0.998358964920044
driver,9,-0.5980478525161743,-0.6489130854606628,0.27858155965805054,0.18258650600910187,0.9980217814445496
driver,10,-0.4082208275794983,0.12580864131450653,0.3542872667312622,1.5073347091674805,0.9981533288955688
driver,13,0.27317315340042114,0.23122930526733398,0.17540594935417175,0.23912443220615387,0.9987863302230835
driver,15,-0.23100389540195465,0.1974804401397705,0.41393089294433594,1.0351591110229492,0.9982390999794006
driver,16,-0.23694424331188202,-0.3037225306034088,0.20157459378242493,0.33128324151039124,0.9990739822387695
driver,17,0.10833638906478882,0.042564507573843,0.22567513585090637,0.29144495725631714,0.9980232119560242
driver,18,0.5138078331947327,0.47022467851638794,0.18369202315807343,0.23726209998130798,0.9980493187904358
driver,20,0.6697230339050293,0.6419686675071716,0.1680336594581604,0.16517147421836853,0.9982547760009766
driver,22,-0.2785976529121399,-0.33735063672065735,0.292483925819397,0.20087593793869019,1.0027302503585815
driver,24,-0.46836304664611816,-0.14298586547374725,0.3894711434841156,0.835433304309845,0.9982595443725586
driver,30,-1.5319465398788452,-1.6733815670013428,0.26022452116012573,0.5435115098953247,1.0068292617797852
driver,37,0.2143547385931015,0.6362071633338928,0.3680822253227234,1.1460820436477661,0.9981189370155334
driver,39,-0.34924715757369995,0.11415106803178787,0.37461522221565247,1.2369978427886963,0.9984424114227295
driver,67,0.03440162166953087,-0.08337287604808807,0.3314703702926636,0.35530927777290344,0.9980223774909973
driver,153,-0.14001131057739258,-0.23164239525794983,0.31271660327911377,0.29301637411117554,0.9980528950691223
driver,154,-0.07980839163064957,-0.0893784761428833,0.1914697140455246,0.049982234835624695,0.9981154799461365
driver,155,0.28749972581863403,0.23247702419757843,0.21490155160427094,0.25603678822517395,0.9995483756065369
driver,807,0.2796570360660553,0.2577857971191406,0.16518595814704895,0.13240374624729156,0.9993249177932739
driver,808,0.10309397429227829,0.10315674543380737,0.22915798425674438,0.00027392079937271774,0.9980336427688599
driver,811,-0.2647746503353119,-0.31402063369750977,0.24808834493160248,0.1985017955303192,0.9981831312179565
driver,812,-0.6805216670036316,-0.4688964784145355,0.731795608997345,0.2891862094402313,0.9990482330322266
driver,813,-0.37673133611679077,-0.4584428668022156,0.18242870271205902,0.4479093849658966,1.003967523574829
driver,814,-0.016133630648255348,-0.11232492327690125,0.22799097001552582,0.42190834879875183,1.0013136863708496
driver,815,0.35313791036605835,0.2973686456680298,0.15926165878772736,0.35017383098602295,0.9985625147819519
driver,816,-0.7154645323753357,-0.047179773449897766,0.4072345495223999,1.6410316228866577,0.9980302453041077
driver,817,0.3952311873435974,0.3665299713611603,0.1591380387544632,0.18035420775413513,0.9990732669830322
driver,818,0.0327686183154583,0.017442885786294937,0.22001439332962036,0.06965786218643188,0.9980253577232361
driver,819,-0.14551600813865662,0.1420837938785553,0.281246155500412,1.0225909948349,1.0018324851989746
driver,820,-0.724166214466095,-0.22137680649757385,0.36617347598075867,1.3730906248092651,0.9979982376098633
driver,821,-0.04552087187767029,-0.051332708448171616,0.2033960521221161,0.028573989868164062,0.9984871745109558
driver,822,0.4838826060295105,0.4442959129810333,0.16535252332687378,0.23940785229206085,1.0005335807800293
driver,823,-0.2675722539424896,-0.19144631922245026,0.3450925052165985,0.22059573233127594,0.9980520009994507
driver,824,-0.5441389083862305,-0.0890420526266098,0.3829929530620575,1.18826425075531,0.9989147782325745
driver,825,0.024046864360570908,0.023524487391114235,0.17558553814888,0.002975056879222393,0.9981445074081421
driver,826,0.243129163980484,0.250845730304718,0.18335585296154022,0.0420851930975914,0.9988247752189636
driver,827,-0.011495575308799744,-0.10250116884708405,0.9222622513771057,0.09867648035287857,1.0008068084716797
driver,828,0.09229552745819092,0.10635151714086533,0.17814967036247253,0.07889989018440247,1.0021783113479614
driver,829,-0.19900748133659363,-0.12118019163608551,0.3693685829639435,0.21070359647274017,1.0058073997497559
driver,830,0.745654821395874,0.7141776084899902,0.17125311493873596,0.1838051974773407,0.9980037212371826
driver,831,0.2662358582019806,0.22659093141555786,0.22813044488430023,0.17378182709217072,0.9993085265159607
driver,832,0.6219263076782227,0.6196659207344055,0.16689880192279816,0.013543457724153996,0.9980049729347229
driver,833,0.23590441048145294,0.29118555784225464,0.37869808077812195,0.14597684144973755,0.998668909072876
driver,834,0.20637692511081696,0.33314502239227295,0.5292539000511169,0.2395222783088684,0.9980080127716064
driver,835,-0.24981312453746796,-0.2536159157752991,0.23620925843715668,0.016099248081445694,1.0003846883773804
driver,836,-0.2246580272912979,-0.19545809924602509,0.2542109191417694,0.11486496031284332,1.0063363313674927
driver,837,-0.8283335566520691,-0.709895133972168,0.4548417031764984,0.260394811630249,1.0079783201217651
driver,838,0.044708240777254105,-0.020217059180140495,0.23017911612987518,0.2820642292499542,0.9986464381217957
driver,839,0.41781124472618103,0.4000858664512634,0.17977504432201385,0.09859754890203476,0.9983088374137878
driver,840,-0.024347146973013878,-0.04349445551633835,0.17184646427631378,0.11142101883888245,0.9981495141983032
driver,841,0.45360440015792847,0.41578492522239685,0.21057754755020142,0.17959879338741302,0.9981186389923096
driver,842,0.5218165516853333,0.4824430048465729,0.1748730093240738,0.2251550853252411,0.9980321526527405
driver,843,-0.42093002796173096,-0.3997485339641571,0.29123789072036743,0.0727291852235794,0.9980111718177795
driver,844,0.5973896384239197,0.5672211647033691,0.17692752182483673,0.17051318287849426,0.9979996681213379
driver,845,-0.5154091715812683,-0.5419743657112122,0.26242196559906006,0.10123082995414734,0.9980545043945312
driver,846,0.9934461116790771,0.9547150731086731,0.18803051114082336,0.2059827297925949,0.9998493790626526
driver,847,-0.21259461343288422,-0.29232507944107056,0.18379439413547516,0.4338024854660034,1.0026365518569946
driver,848,0.17468449473381042,0.14620248973369598,0.1898891180753708,0.14999282360076904,0.9993206858634949
driver,849,-0.4974598288536072,-0.5462751388549805,0.22203555703163147,0.21985356509685516,1.0016807317733765
driver,850,-0.7423739433288574,-0.674266517162323,0.6460505723953247,0.10542120039463043,0.9984392523765564
driver,851,0.09865757822990417,-0.01913439854979515,0.6963834762573242,0.16914816200733185,0.9993108510971069
driver,852,0.1300850212574005,0.1246141791343689,0.216147780418396,0.025310656055808067,0.998011589050293
driver,853,-0.8626787066459656,-0.8812220096588135,0.3319360911846161,0.05586407706141472,0.9980943202972412
driver,854,-0.25494813919067383,-0.26003298163414,0.25506216287612915,0.019935699179768562,0.9982532858848572
driver,855,0.3075949549674988,0.31899309158325195,0.19795390963554382,0.05757974833250046,0.998054563999176
driver,856,-0.1776401400566101,-0.18325242400169373,0.3543418049812317,0.015838615596294403,0.9980059862136841
driver,857,0.9989428520202637,0.9879549145698547,0.23793759942054749,0.046179912984371185,0.9980812072753906
driver,858,-0.5826268196105957,-0.5979293584823608,0.2498263418674469,0.06125270202755928,1.0001964569091797
driver,859,0.45544952154159546,0.5337685942649841,0.3980327248573303,0.19676540791988373,0.9980183243751526
driver,860,0.6134481430053711,0.5917875170707703,0.5891194939613342,0.03676779568195343,1.0006471872329712
driver,861,0.20135749876499176,0.15018853545188904,0.38875648379325867,0.13162215054035187,0.9980197548866272
driver,862,-0.09226764738559723,-0.10409732162952423,0.7151867747306824,0.016540678218007088,0.998098611831665
constructor,1,0.1677759885787964,0.3166336119174957,0.10025408864021301,1.484803557395935,0.9993728995323181
constructor,3,0.12211905419826508,0.2948831617832184,0.09992441534996033,1.7289478778839111,1.0010416507720947
constructor,4,0.08716180920600891,0.22215579450130463,0.09518550336360931,1.418220043182373,0.9996134638786316
constructor,5,-0.07620060443878174,0.07751955091953278,0.10648711025714874,1.4435564279556274,0.9988784193992615
constructor,6,0.6956963539123535,0.8441098928451538,0.09482153505086899,1.5651880502700806,1.0003174543380737
constructor,9,1.0971927642822266,1.223994493484497,0.09331042319536209,1.3589235544204712,0.9985328316688538
constructor,10,0.3137194514274597,0.46219122409820557,0.08870692551136017,1.6737337112426758,0.9984222054481506
constructor,15,-0.2939930856227875,-0.15941843390464783,0.09089460968971252,1.4805569648742676,0.9980142712593079
constructor,131,1.4899961948394775,1.686352252960205,0.1286098062992096,1.526758074760437,0.9980860948562622
constructor,164,-1.1322598457336426,-1.498950719833374,0.287850022315979,1.2738956212997437,0.9997244477272034
constructor,166,-0.4600455164909363,-1.1445403099060059,0.34339770674705505,1.993300437927246,0.9985681772232056
constructor,205,-0.5309739112854004,-0.9988158941268921,0.32102853059768677,1.457322120666504,0.9983047842979431
constructor,206,-0.21695607900619507,-0.5672020316123962,0.30450496077537537,1.1502143144607544,0.9989762902259827
constructor,207,-0.6861048936843872,-0.7078198194503784,0.15947528183460236,0.1361648440361023,1.0035476684570312
constructor,208,0.2841624319553375,0.4328729212284088,0.13594527542591095,1.0938996076583862,0.9991230368614197
constructor,209,-0.6253255009651184,-0.6009928584098816,0.24146048724651337,0.10077276825904846,0.9985601902008057
constructor,210,-0.23596453666687012,0.11702689528465271,0.11985333263874054,2.945194959640503,
