step,loss
0,16631.173828125
1,15754.142206192017
2,16912.31255531311
3,13230.414602279663
4,17025.934606552124
5,13201.67597770691
6,14691.016456604004
7,17134.041820526123
8,13746.890748977661
9,14865.119993209839
10,15220.237943649292
11,15216.765218734741
12,14295.47329902649
13,18423.778678894043
14,15344.091884613037
15,21508.10534286499
16,15630.765989303589
17,14808.965744018555
18,15181.481548309326
19,15104.685472488403
20,13483.812686920166
21,16724.558212280273
22,17340.227382659912
23,14566.492490768433
24,14448.990036010742
25,14732.037128448486
26,14295.187244415283
27,13428.316801071167
28,14379.789148330688
29,15641.014171600342
30,14193.401737213135
31,13746.242736816406
32,16559.66508102417
33,16090.09140586853
34,15765.613529205322
35,16906.087074279785
36,19910.214950561523
37,17306.09457397461
38,16047.803020477295
39,13711.966579437256
40,14189.777450561523
41,12760.74813079834
42,17221.392583847046
43,17436.08427619934
44,13996.687313079834
45,14199.326530456543
46,15879.804903030396
47,15833.753095626831
48,14898.109115600586
49,14396.961898803711
50,14705.155113220215
51,15835.444873809814
52,13043.12182044983
53,14104.949745178223
54,14929.463333129883
55,14184.933485031128
56,17803.444147109985
57,16035.810697555542
58,13075.210962295532
59,14080.955852508545
60,14526.007410049438
61,14657.842758178711
62,21433.16307449341
63,12520.257308959961
64,13576.609992980957
65,14281.738739013672
66,14302.716888427734
67,14285.569896697998
68,20873.530279159546
69,15695.757936477661
70,13889.835819244385
71,13339.957069396973
72,13003.519721984863
73,14218.238315582275
74,13917.45057106018
75,13251.089324951172
76,27333.924606323242
77,13869.90254020691
78,14011.609680175781
79,13247.776054382324
80,13531.285711288452
81,14725.311920166016
82,12906.166469573975
83,13856.00657749176
84,12469.241603851318
85,12646.478992462158
86,15783.420631408691
87,12641.485960006714
88,14560.554933547974
89,12532.584732055664
90,12621.753067016602
91,14295.841005325317
92,13114.784107208252
93,14186.234823226929
94,16845.7815284729
95,12615.085557937622
96,15045.704097747803
97,13420.378360748291
98,14493.528213500977
99,14074.67342376709
100,13710.938959121704
101,13890.7622756958
102,12309.44116783142
103,13159.024475097656
104,12396.333125114441
105,13833.153289794922
106,12173.150639533997
107,12358.149501800537
108,12509.527378082275
109,13226.283592224121
110,12821.133922576904
111,14603.061170578003
112,13417.98483657837
113,12431.403051376343
114,14032.510278701782
115,12975.038345336914
116,13761.65415763855
117,12322.8590965271
118,12475.440294265747
119,11633.254727363586
120,11858.402565002441
121,12331.09976196289
122,14049.390907287598
123,13837.235845565796
124,13251.484928131104
125,12043.890073776245
126,12079.120113372803
127,12500.564558029175
128,12771.251007080078
129,13774.97569656372
130,13340.47246170044
131,12776.774746894836
132,12866.39317893982
133,12863.027742385864
134,12392.795835494995
135,13615.424966812134
136,12686.719762802124
137,12198.574585914612
138,15020.70591545105
139,12246.744045257568
140,12759.255823135376
141,13023.770120620728
142,12252.847931861877
143,12212.291749954224
144,12368.021039962769
145,12334.3901014328
146,14905.130222320557
147,12176.866380691528
148,13537.809505462646
149,12882.355653762817
150,13849.033590316772
151,12621.718181610107
152,12872.252378463745
153,13976.275630950928
154,12753.955545425415
155,13093.447470664978
156,13074.675064086914
157,12973.740766525269
158,13138.079448699951
159,12562.452961921692
160,14418.428747177124
161,12125.52773475647
162,11470.702097892761
163,12669.499841690063
164,12653.190711021423
165,16216.710834503174
166,14300.469750404358
167,12558.675521850586
168,11860.147201538086
169,12119.486771583557
170,11895.042245864868
171,12210.80411529541
172,12514.58390045166
173,13027.954187393188
174,13407.08897972107
175,12035.348708152771
176,12405.302753448486
177,12917.01449394226
178,11736.887216567993
179,11935.160007476807
180,11781.612855911255
