entity_type,entity_id,entity_name,season,mu,sigma
driver,1,,all,0.6414356231689453,0.08787495642900467
driver,2,,all,-0.5402967929840088,0.35557132959365845
driver,3,,all,-0.21838822960853577,0.1076989471912384
driver,4,,all,0.5572337508201599,0.08728247880935669
driver,5,,all,-0.031047455966472626,0.1715448498725891
driver,8,,all,0.5292198657989502,0.09085829555988312
driver,9,,all,-0.6974852681159973,0.2170701026916504
driver,10,,all,-0.4071144759654999,0.18415147066116333
driver,13,,all,0.275329053401947,0.1097191646695137
driver,15,,all,-0.20999906957149506,0.2745078206062317
driver,16,,all,-0.26464226841926575,0.1516398787498474
driver,17,,all,0.045658037066459656,0.1545424908399582
driver,18,,all,0.4998224079608917,0.11605043709278107
driver,20,,all,0.6753153800964355,0.0819285660982132
driver,22,,all,-0.23397649824619293,0.24643972516059875
driver,24,,all,-0.46634113788604736,0.29867109656333923
driver,30,,all,-1.5447040796279907,0.19008515775203705
driver,37,,all,0.24372060596942902,0.23673808574676514
driver,39,,all,-0.3075541853904724,0.23128734529018402
driver,67,,all,0.012022312730550766,0.2731243968009949
driver,153,,all,-0.11812688410282135,0.2514887750148773
driver,154,,all,-0.0842919647693634,0.1136847585439682
driver,155,,all,0.2157200574874878,0.16371966898441315
driver,807,,all,0.272428035736084,0.08797117322683334
driver,808,,all,0.0850178450345993,0.17252638936042786
driver,811,,all,-0.26554563641548157,0.206645205616951
driver,812,,all,-0.6083568930625916,0.6790613532066345
driver,813,,all,-0.4092707633972168,0.12673401832580566
driver,814,,all,-0.01478734239935875,0.15026292204856873
driver,815,,all,0.31301024556159973,0.07551924139261246
driver,816,,all,-0.6289547681808472,0.23732006549835205
driver,817,,all,0.3527371883392334,0.08722098916769028
driver,818,,all,0.007130514830350876,0.15156827867031097
driver,819,,all,-0.19979992508888245,0.18411265313625336
driver,820,,all,-0.6337239742279053,0.19196833670139313
driver,821,,all,-0.06382580101490021,0.15095876157283783
driver,822,,all,0.4895145297050476,0.08518337458372116
driver,823,,all,-0.34152546525001526,0.26402440667152405
driver,824,,all,-0.5659477114677429,0.19888651371002197
driver,825,,all,0.052904821932315826,0.11330722272396088
driver,826,,all,0.26480892300605774,0.11818903684616089
driver,827,,all,-0.01416174229234457,0.9607783555984497
driver,828,,all,0.1106138825416565,0.13097280263900757
driver,829,,all,-0.18858666718006134,0.3115125894546509
driver,830,,all,0.7562161684036255,0.09673009812831879
driver,831,,all,0.29889973998069763,0.18718335032463074
driver,832,,all,0.6356481313705444,0.08919788151979446
driver,833,,all,0.2528831660747528,0.30265843868255615
driver,834,,all,0.25908714532852173,0.4632384479045868
driver,835,,all,-0.25861796736717224,0.20112037658691406
driver,836,,all,-0.2240922898054123,0.18846935033798218
driver,837,,all,-0.8227636218070984,0.3829454183578491
driver,838,,all,0.0019310550997033715,0.1783471703529358
driver,839,,all,0.40420758724212646,0.10837351530790329
driver,840,,all,0.004338374827057123,0.09641464054584503
driver,841,,all,0.4082641005516052,0.1392546445131302
driver,842,,all,0.4877452850341797,0.09677228331565857
driver,843,,all,-0.40805938839912415,0.24464428424835205
driver,844,,all,0.59172123670578,0.09355050325393677
driver,845,,all,-0.5607606768608093,0.2338019460439682
driver,846,,all,0.9758114218711853,0.10339327901601791
driver,847,,all,-0.21321989595890045,0.11177205294370651
driver,848,,all,0.18481487035751343,0.10899278521537781
driver,849,,all,-0.5094632506370544,0.14540839195251465
driver,850,,all,-0.8116315007209778,0.639136791229248
driver,851,,all,-0.019013289362192154,0.7324371337890625
driver,852,,all,0.14961427450180054,0.1304517686367035
driver,853,,all,-0.8756033778190613,0.2573572099208832
driver,854,,all,-0.25815948843955994,0.18282514810562134
driver,855,,all,0.2963128685951233,0.13705749809741974
driver,856,,all,-0.247257798910141,0.3324087858200073
driver,857,,all,1.031912088394165,0.156112402677536
driver,858,,all,-0.5437800288200378,0.2114868313074112
driver,859,,all,0.6094766855239868,0.3486610949039459
driver,860,,all,0.5625507831573486,0.5934966802597046
driver,861,,all,0.11426834017038345,0.37020552158355713
driver,862,,all,-0.01052211131900549,0.7431336641311646
constructor,1,,all,0.17129580676555634,0.06144454702734947
constructor,3,,all,0.12803517282009125,0.07419639825820923
constructor,4,,all,0.0828615128993988,0.08473684638738632
constructor,5,,all,-0.07605110853910446,0.08061423897743225
constructor,6,,all,0.6941770315170288,0.0788135826587677
constructor,9,,all,1.0775809288024902,0.08174603432416916
constructor,10,,all,0.3136014938354492,0.07745783776044846
constructor,15,,all,-0.2916177213191986,0.07451745122671127
constructor,131,,all,1.4873498678207397,0.07399097084999084
constructor,164,,all,-1.1592928171157837,0.11588219553232193
constructor,166,,all,-0.45951154828071594,0.11333629488945007
constructor,205,,all,-0.5500139594078064,0.12881428003311157
constructor,206,,all,-0.21298851072788239,0.11534252017736435
constructor,207,,all,-0.6989122033119202,0.10325059294700623
constructor,208,,all,0.28518903255462646,0.10506651550531387
constructor,209,,all,-0.6382415294647217,0.11316516250371933
constructor,210,,all,-0.15346157550811768,0.0926484689116478
