step,loss
0,36414.44430541992
1,31986.48150062561
2,37657.777769088745
3,37243.1704788208
4,38805.967571258545
5,52434.21059036255
6,37796.06259918213
7,29158.442323684692
8,46947.56675720215
9,50200.23320770264
10,33145.36909675598
11,44032.14122962952
12,34315.095891952515
13,34227.26961326599
14,34038.88341712952
15,42560.65495300293
16,27598.405939102173
17,30889.047288894653
18,36687.53741645813
19,37058.75538063049
20,37971.43051528931
21,46934.92585372925
22,33718.516593933105
23,80857.26258659363
24,28665.1270236969
25,29265.642421722412
26,37226.63789367676
27,34164.01056289673
28,35284.55001831055
29,29382.82364845276
30,42514.292165756226
31,36625.12050628662
32,36287.70182418823
33,42144.08980178833
34,29441.036436080933
35,30692.060354232788
36,32281.21663093567
37,32153.752895355225
38,39085.77284240723
39,33949.56041717529
40,43525.7698097229
41,30358.573291778564
42,32900.130029678345
43,35908.319900512695
44,34452.51770401001
45,32422.11492729187
46,38707.33519363403
47,29698.789701461792
48,40649.96047210693
49,36460.89814567566
50,31858.02465248108
51,33341.84337615967
52,36679.16714286804
53,31305.054418563843
54,39852.82255744934
55,51376.13937950134
56,30791.20588684082
57,28388.333784103394
58,28392.7144947052
59,38174.86645889282
60,29088.972034454346
61,27378.51248550415
62,23688.492904663086
63,36818.318170547485
64,33221.26945114136
65,28415.905378341675
66,29709.39656829834
67,28127.247312545776
68,28564.41487121582
69,30132.94406890869
70,31882.92678451538
71,44862.020765304565
72,31867.611108779907
73,30568.57266998291
74,29575.994115829468
75,37385.97805404663
76,24970.12726020813
77,31641.27349090576
78,31178.794597625732
79,30185.966411590576
80,27398.942363739014
81,32471.316537857056
82,46404.79560661316
83,30958.210041999817
84,29901.118337631226
85,26882.654663085938
86,31874.10965156555
87,30548.880224227905
88,28672.521493911743
89,33930.493200302124
90,27397.493812561035
91,39195.89973068237
92,26229.803915023804
93,23238.1870803833
94,30691.585411071777
95,26461.993530273438
96,23215.685300827026
97,35216.017711639404
98,24666.45126724243
99,26889.329624176025
100,25226.046133041382
101,26942.418113708496
102,27882.647325515747
103,25453.945261001587
104,25197.87916946411
105,34216.80266571045
106,22279.66445350647
107,26918.735137939453
108,27419.83589553833
109,30423.821521759033
110,31848.295776367188
111,29352.286235809326
112,21281.25923347473
113,22690.66410255432
114,32482.997743606567
115,31252.022987365723
116,26414.49768638611
117,23390.138216018677
118,27014.825147628784
119,27371.08173751831
120,31031.66035079956
121,30333.70539855957
122,26207.136142730713
123,33387.3784828186
124,21864.31378364563
125,24667.249626159668
126,21064.41248512268
127,28395.12145423889
128,28499.309329986572
129,27508.9457988739
130,27321.070392608643
131,27790.452333450317
132,27230.329959869385
133,26180.503087997437
134,30058.07822227478
135,24498.704662322998
136,29401.68835067749
137,24697.553937911987
138,29410.885328292847
139,24631.00629234314
140,21641.848039627075
141,23295.945484161377
142,25621.952087402344
143,25457.989833831787
144,35413.697008132935
145,26240.86580467224
146,21451.17827606201
147,25109.420318603516
148,27701.75136756897
149,36127.92575645447
150,24173.20383644104
151,26722.67969894409
152,22720.185529708862
153,35486.40358161926
154,27200.918783187866
155,23685.55207633972
156,26320.370025634766
157,28875.97488594055
158,27739.963998794556
159,54615.11760139465
160,27963.026210784912
161,26062.411247253418
162,30732.70994567871
163,30729.8507270813
164,21769.811471939087
165,26625.806869506836
166,23542.897882461548
167,26686.890100479126
168,23341.817059516907
169,25022.430028915405
170,33377.25944328308
171,27216.151176452637
172,23735.367458343506
173,28744.009380340576
174,27657.11289215088
175,25865.1678276062
176,22590.531339645386
177,27038.78816795349
178,22225.761264801025
179,24244.140449523926
180,26244.969886779785
181,25363.75308418274
182,22793.34606552124
183,21587.116506576538
184,28749.154886245728
185,32210.78621864319
186,38653.08787345886
187,23039.48921585083
188,29641.65787601471
189,34597.9945602417
190,25800.151191711426
191,24904.042308807373
192,25211.615125656128
193,28673.741047859192
194,21775.936637878418
195,27192.617471694946
196,30941.68667602539
197,23525.47065925598
198,23293.75009918213
199,25832.686191558838
200,29294.535640716553
201,26088.222145080566
202,24510.353551864624
203,31998.63480949402
204,34374.02914619446
205,24159.51417160034
206,24197.899019241333
207,26150.049404144287
208,25934.99113368988
209,19951.258209228516
210,29219.160997390747
211,28412.419858932495
212,28482.157497406006
213,51919.415351867676
214,26514.61769771576
215,22200.130220413208
216,26030.56965637207
217,24918.868039131165
218,22370.736444473267
219,24050.070808410645
220,17830.45524406433
221,27800.554969787598
222,24737.03809261322
223,21351.405088424683
224,23735.93449115753
225,20340.683190345764
226,25122.31757926941
227,25534.870624542236
228,20415.727354049683
229,25651.600130081177
230,21951.70124721527
231,22896.49226951599
232,22180.207125663757
233,20721.10913658142
234,35391.37448310852
235,26260.93251991272
236,19708.99033355713
237,23793.575090408325
238,23572.124475479126
239,20951.022031784058
240,24754.273719787598
241,24906.871730804443
242,30910.639154434204
243,19306.355595588684
244,20393.885341644287
245,23496.155715942383
246,27444.46347427368
247,26174.412839889526
248,26937.968002319336
249,24688.81456565857
250,23371.392992019653
251,20860.124404907227
252,20792.817598342896
253,21070.07501220703
254,19564.96704673767
255,29412.38772392273
256,24375.186086654663
257,21751.769664764404
258,22178.309745788574
259,23152.475313186646
260,44222.1199092865
261,19641.558792114258
262,27194.564281463623
263,22540.7260055542
264,20696.8373336792
265,23262.32176399231
266,20306.516577720642
267,25156.63882637024
268,20196.244300842285
269,22472.091159820557
270,30403.30934906006
271,30440.750215530396
272,19936.793161392212
273,25516.75076675415
274,22365.135501861572
275,27742.306997299194
276,29188.175231933594
277,26795.25133419037
278,25906.42242050171
279,22192.912879943848
280,22090.983905792236
281,21375.647344589233
282,22130.23473739624
283,24718.65102481842
284,27106.52258491516
285,20379.185789108276
286,24310.699480056763
287,22288.765018463135
288,28624.591022491455
289,23883.32888031006
290,25407.397497177124
291,25770.476308822632
292,20067.996292114258
293,30424.851238250732
294,20956.79495048523
295,24713.46100616455
296,21505.52539253235
297,20261.86822128296
298,19596.082181930542
299,20042.92414855957
300,19169.1116065979
301,27571.570823669434
