entity_type,entity_id,season,mu
driver,1,0,0.5664688944816589
driver,2,0,-0.4278997778892517
driver,3,0,0.22572021186351776
driver,4,0,1.090242624282837
driver,5,0,-0.41152530908584595
driver,8,0,0.7766328454017639
driver,9,0,-0.22080345451831818
driver,10,0,-0.6209303736686707
driver,13,0,0.2634975016117096
driver,15,0,-0.4564955234527588
driver,16,0,-0.0543624609708786
driver,17,0,0.592631995677948
driver,18,0,1.357033133506775
driver,20,0,2.0440762042999268
driver,22,0,-0.22830113768577576
driver,24,0,-0.8363162279129028
driver,30,0,-0.5527540445327759
driver,37,0,-0.11434091627597809
driver,39,0,-0.7909114956855774
driver,67,0,-0.23015747964382172
driver,153,0,-0.3954869210720062
driver,154,0,-0.26249536871910095
driver,155,0,0.04758284240961075
driver,807,0,0.1675410270690918
driver,808,0,-0.045042041689157486
driver,811,0,-0.2191830426454544
driver,812,0,-0.822185218334198
driver,813,0,-0.4301404356956482
driver,814,0,-0.08000040799379349
driver,815,0,-0.09190654009580612
driver,816,0,-0.8779683113098145
driver,817,0,-0.24319705367088318
driver,818,0,-0.13329055905342102
driver,819,0,-0.24526609480381012
driver,820,0,-0.5707806348800659
driver,821,0,-0.12332271784543991
driver,822,0,0.06061575561761856
driver,823,0,-0.362898588180542
driver,824,0,-0.42783281207084656
driver,825,0,0.20420053601264954
driver,826,0,0.16801685094833374
driver,827,0,0.055855438113212585
driver,828,0,-0.08373242616653442
driver,829,0,-0.2705773711204529
driver,830,0,0.3580889105796814
driver,831,0,0.2693943381309509
driver,832,0,0.3979220688343048
driver,833,0,0.04278365895152092
driver,834,0,0.1763380467891693
driver,835,0,-0.1749906837940216
driver,836,0,-0.1585991531610489
driver,837,0,-0.5716467499732971
driver,838,0,0.1517249196767807
driver,839,0,0.16554085910320282
driver,840,0,-0.0819128230214119
driver,841,0,0.003960966132581234
driver,842,0,0.20133323967456818
driver,843,0,-0.22635462880134583
driver,844,0,0.16740605235099792
driver,845,0,-0.2871260941028595
driver,846,0,0.30548956990242004
driver,847,0,-0.07525642961263657
driver,848,0,0.23045139014720917
driver,849,0,-0.1752135008573532
driver,850,0,-0.3879058361053467
driver,851,0,0.07105379551649094
driver,852,0,-0.009543697349727154
driver,853,0,-0.13259628415107727
driver,854,0,0.03955831751227379
driver,855,0,-0.045983899384737015
driver,856,0,-0.22370116412639618
driver,857,0,0.29090461134910583
driver,858,0,-0.17335239052772522
driver,859,0,0.21480180323123932
driver,860,0,0.20313605666160583
driver,861,0,0.20189009606838226
driver,862,0,-0.042235132306814194
constructor,1,0,0.40161609649658203
constructor,3,0,-0.0845707505941391
constructor,4,0,-0.15160208940505981
constructor,5,0,0.05703141912817955
constructor,6,0,0.4577649235725403
constructor,9,0,0.8611710667610168
constructor,10,0,0.2312186360359192
constructor,15,0,-0.1718452125787735
constructor,131,0,0.28124234080314636
constructor,164,0,-0.9092982411384583
constructor,166,0,-0.5014250874519348
constructor,205,0,-0.4462631046772003
constructor,206,0,-0.1330592930316925
constructor,207,0,-0.1812000423669815
constructor,208,0,0.24096792936325073
constructor,209,0,-0.1612662523984909
constructor,210,0,0.20951765775680542
driver,1,1,0.6362771987915039
driver,2,1,-0.44232064485549927
driver,3,1,0.203964963555336
driver,4,1,0.9858709573745728
driver,5,1,-0.225724995136261
driver,8,1,0.8665844202041626
driver,9,1,-0.2006901055574417
driver,10,1,-0.4207635223865509
driver,13,1,0.23693272471427917
driver,15,1,-0.48228612542152405
driver,16,1,-0.2052481323480606
driver,17,1,0.22820991277694702
driver,18,1,0.8230350613594055
driver,20,1,1.6086015701293945
driver,22,1,-0.2773360013961792
driver,24,1,-0.8233286738395691
driver,30,1,-0.6450817584991455
driver,37,1,-0.2210352122783661
driver,39,1,-0.5521057844161987
driver,67,1,-0.19406628608703613
driver,153,1,-0.35367459058761597
driver,154,1,-0.3001287281513214
driver,155,1,0.1647396832704544
driver,807,1,0.20940563082695007
driver,808,1,0.008041977882385254
driver,811,1,-0.17304855585098267
driver,812,1,-0.8196732401847839
driver,813,1,-0.20002871751785278
driver,814,1,-0.04440823569893837
driver,815,1,0.03986204415559769
driver,816,1,-0.7720154523849487
driver,817,1,0.0915772020816803
driver,818,1,-0.16932158172130585
driver,819,1,-0.2747429311275482
driver,820,1,-0.6166271567344666
driver,821,1,-0.10356342792510986
driver,822,1,0.03131023794412613
driver,823,1,-0.41582587361335754
driver,824,1,-0.4609532654285431
driver,825,1,0.2708730697631836
driver,826,1,0.18986845016479492
driver,827,1,0.04687194526195526
driver,828,1,-0.07270848751068115
driver,829,1,-0.29851701855659485
driver,830,1,0.42632856965065
driver,831,1,0.2919169068336487
driver,832,1,0.46165522933006287
driver,833,1,0.06146455556154251
driver,834,1,0.19850459694862366
driver,835,1,-0.20827209949493408
driver,836,1,-0.187846377491951
driver,837,1,-0.5948221683502197
driver,838,1,0.13542039692401886
driver,839,1,0.20277322828769684
