model,fold_test_year_mean,fold_test_year_std,pairwise_accuracy_mean,pairwise_accuracy_std,top_1_accuracy_mean,top_1_accuracy_std,top_3_accuracy_mean,top_3_accuracy_std,top_5_accuracy_mean,top_5_accuracy_std,spearman_rho_mean,spearman_rho_std,mrr_mean,mrr_std,mse_position_mean,mse_position_std
Elo,2019.5,3.0276503540974917,0.6776027928579162,0.03121252932449342,0.3885820500448983,0.22025236642086668,0.6834716470320186,0.2041314753991304,0.8273951255143205,0.12409307725931319,0.49573592067429323,0.06676659630986259,0.5999310392781152,0.11253198094312705,34.208533413524904,4.434213696405936
Grid,2019.5,3.0276503540974917,0.7297006230588797,0.023349399756145486,0.42164187205982867,0.12810473636200564,0.576972343961508,0.15667330764617352,0.6412472357363999,0.14014093169043138,0.5692165898734263,0.05262934372597598,0.6252448566009943,0.09031472664704443,29.12917988040511,3.570727693056677
PrevSeason,2019.5,3.0276503540974917,0.6695284761436419,0.031337541251651356,0.543127504590353,0.15181457243197807,0.7880171015774731,0.10707279872355421,0.8819405800597752,0.06744350714296014,0.5171700162419193,0.05757181853207853,0.6803170332823092,0.11856650767414494,31.51587172141584,3.5960923638229554
Random,2019.5,3.0276503540974917,0.5055139816943355,0.019911490913318314,0.03165584415584415,0.048122833858663436,0.14207115382037983,0.06985229561405398,0.23025756235508554,0.09455876678115785,0.012341537884866607,0.0553673977754028,0.17768677665240612,0.04839867318853837,66.94751439874196,5.126588235672425
TrueSkill,2019.5,3.0276503540974917,0.6594421945575303,0.02517038928171792,0.3885820500448983,0.22025236642086668,0.6834716470320186,0.2041314753991304,0.8273951255143205,0.12409307725931319,0.45510268359525563,0.061814896064532915,0.5728154335631116,0.1399660063304376,36.80852204151198,3.948153755093407
